,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,435.4,436.7,427.0,433.2,427.4,427.75,429.41,500.4,366.2,7895024,3390173527.2,132638,TATAMOTORS
1,2023-02-23,EQ,428.65,436.45,427.2,429.45,435.0,433.2,432.39,500.4,366.2,9278920,4012130316.6,144810,TATAMOTORS
2,2023-02-22,EQ,435.3,435.85,428.25,436.5,428.8,429.45,431.2,500.4,366.2,7209130,3108542015.1,132853,TATAMOTORS
3,2023-02-21,EQ,445.2,445.2,435.25,443.0,436.2,436.5,440.11,500.4,366.2,8957930,3942499886.25,165217,TATAMOTORS
4,2023-02-20,EQ,441.8,445.3,436.25,439.9,442.15,443.0,441.37,500.4,366.2,9717197,4288869342.4,148264,TATAMOTORS
5,2023-02-17,EQ,436.0,442.45,436.0,441.6,439.6,439.9,440.3,511.5,366.2,6955445,3062455950.25,128577,TATAMOTORS
6,2023-02-16,EQ,445.0,448.25,440.5,444.15,440.85,441.6,443.43,511.5,366.2,7670688,3401448898.5,135525,TATAMOTORS
7,2023-02-15,EQ,438.5,444.9,438.15,440.55,443.65,444.15,441.35,511.5,366.2,9857016,4350353618.35,165475,TATAMOTORS
8,2023-02-14,EQ,442.0,444.3,434.4,441.05,440.8,440.55,439.74,511.5,366.2,8565559,3766584785.5,165241,TATAMOTORS
9,2023-02-13,EQ,445.5,446.9,438.9,445.85,441.0,441.05,441.95,511.5,366.2,8333767,3683146606.05,138344,TATAMOTORS
10,2023-02-10,EQ,437.95,447.8,431.2,436.75,444.4,445.85,440.73,511.5,366.2,14798390,6522076821.95,239763,TATAMOTORS
11,2023-02-09,EQ,440.0,440.7,433.55,440.1,436.8,436.75,436.02,511.5,366.2,7349418,3204465989.7,100774,TATAMOTORS
12,2023-02-08,EQ,435.45,441.0,431.55,435.45,440.05,440.1,437.21,511.5,366.2,8668267,3789895025.35,141672,TATAMOTORS
13,2023-02-07,EQ,441.7,443.4,432.9,442.0,435.3,435.45,436.64,511.5,366.2,9023645,3940063886.3,115344,TATAMOTORS
14,2023-02-06,EQ,444.45,447.0,439.55,445.45,441.7,442.0,442.71,511.5,366.2,6795084,3008254384.1,109590,TATAMOTORS
15,2023-02-03,EQ,447.0,450.8,442.35,444.8,444.75,445.45,445.83,520.0,366.2,13067403,5825882651.35,158619,TATAMOTORS
16,2023-02-02,EQ,446.75,449.2,440.7,446.65,444.4,444.8,444.35,520.0,366.2,11344554,5041005372.05,156780,TATAMOTORS
17,2023-02-01,EQ,456.8,461.5,437.65,452.1,446.35,446.65,452.16,520.0,366.2,23798589,10760685912.05,247831,TATAMOTORS
18,2023-01-31,EQ,443.7,454.8,440.9,443.65,451.5,452.1,450.19,520.0,366.2,25154475,11324204933.5,305763,TATAMOTORS
19,2023-01-30,EQ,445.6,450.0,437.65,445.6,443.55,443.65,443.81,520.0,366.2,18316743,8129180071.9,264923,TATAMOTORS
20,2023-01-27,EQ,438.0,453.4,435.15,419.05,445.25,445.6,444.86,520.0,366.2,63360467,28186509532.55,621705,TATAMOTORS
21,2023-01-25,EQ,423.75,427.25,417.7,422.15,418.6,419.05,420.93,520.0,366.2,22975581,9671023651.6,260064,TATAMOTORS
22,2023-01-24,EQ,410.0,424.0,410.0,408.4,422.0,422.15,419.81,520.0,366.2,30197475,12677158297.25,281507,TATAMOTORS
23,2023-01-23,EQ,407.0,410.95,405.0,403.15,408.0,408.4,409.03,520.0,366.2,13113183,5363652738.9,144746,TATAMOTORS
24,2023-01-20,EQ,404.0,412.5,401.2,400.75,402.95,403.15,406.24,528.5,366.2,23906114,9711559781.25,227306,TATAMOTORS
25,2023-01-19,EQ,406.5,407.8,400.1,408.4,400.75,400.75,403.93,528.5,366.2,13126520,5302207443.4,209594,TATAMOTORS
26,2023-01-18,EQ,415.9,415.95,407.45,415.3,408.8,408.4,409.94,528.5,366.2,13310316,5456489501.0,201954,TATAMOTORS
27,2023-01-17,EQ,413.0,419.45,412.5,413.0,414.7,415.3,416.64,528.5,366.2,12337969,5140469409.2,148089,TATAMOTORS
28,2023-01-16,EQ,413.5,414.9,407.6,411.5,412.9,413.0,411.4,528.5,366.2,11462140,4715566789.3,144517,TATAMOTORS
29,2023-01-13,EQ,413.0,416.35,408.0,412.25,411.7,411.5,411.59,528.5,366.2,10449630,4300974443.0,129743,TATAMOTORS
30,2023-01-12,EQ,420.3,420.5,410.05,418.2,412.2,412.25,414.69,528.5,366.2,12479034,5174961009.8,143171,TATAMOTORS
31,2023-01-11,EQ,415.75,420.0,413.55,412.9,417.2,418.2,417.61,528.5,366.2,22224361,9281097362.1,220634,TATAMOTORS
32,2023-01-10,EQ,400.0,417.75,400.0,389.45,412.5,412.9,411.86,528.5,366.2,54021379,22249491445.35,467152,TATAMOTORS
33,2023-01-09,EQ,386.35,392.7,385.0,382.0,388.95,389.45,389.87,528.5,366.2,14693099,5728445417.5,167573,TATAMOTORS
34,2023-01-06,EQ,386.1,388.4,381.0,386.9,382.05,382.0,384.04,528.5,366.2,8715469,3347121640.85,147467,TATAMOTORS
35,2023-01-05,EQ,387.9,388.75,382.5,385.6,387.0,386.9,386.13,528.5,366.2,10443908,4032691650.75,130918,TATAMOTORS
36,2023-01-04,EQ,394.8,394.8,385.0,393.9,385.75,385.6,387.3,528.5,366.2,16121049,6243666263.2,172074,TATAMOTORS
37,2023-01-03,EQ,396.0,398.35,393.0,394.8,393.9,393.9,395.21,528.5,366.2,9431220,3727287418.5,133270,TATAMOTORS
38,2023-01-02,EQ,392.5,396.0,391.0,387.95,395.0,394.8,394.17,528.5,366.2,10501357,4139354568.3,142685,TATAMOTORS
39,2022-12-30,EQ,391.0,392.2,387.0,385.9,388.0,387.95,389.76,528.5,366.2,9198673,3585267095.3,132690,TATAMOTORS
40,2022-12-29,EQ,389.0,390.0,383.05,391.3,386.5,385.9,385.43,528.5,366.2,15627403,6023203992.15,239147,TATAMOTORS
41,2022-12-28,EQ,394.0,395.9,390.4,394.15,390.75,391.3,392.83,528.5,366.2,8443917,3317009457.4,153216,TATAMOTORS
42,2022-12-27,EQ,390.0,397.45,388.5,384.8,395.1,394.15,393.86,528.5,366.2,14372461,5660708159.7,189040,TATAMOTORS
43,2022-12-26,EQ,380.25,390.7,375.2,378.35,385.5,384.8,385.1,528.5,366.2,16979026,6538630886.55,243760,TATAMOTORS
44,2022-12-23,EQ,390.0,390.0,377.0,394.45,378.5,378.35,381.94,528.5,366.2,19902886,7601662665.9,346083,TATAMOTORS
