,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
0,2023-02-24,EQ,395.95,396.5,392.55,393.95,394.0,393.3,394.45,616.0,372.4,2553317,1007153250.45,49402,WIPRO
1,2023-02-23,EQ,395.8,398.7,393.4,395.15,395.0,393.95,395.59,616.0,372.4,3039161,1202271830.75,61973,WIPRO
2,2023-02-22,EQ,399.5,400.35,394.45,402.75,394.5,395.15,396.75,616.0,372.4,3441686,1365483106.4,90378,WIPRO
3,2023-02-21,EQ,407.4,408.0,402.1,407.05,402.65,402.75,404.02,616.0,372.4,2880586,1163824387.5,75015,WIPRO
4,2023-02-20,EQ,405.3,407.8,402.2,406.3,407.0,407.05,405.94,616.0,372.4,3248594,1318749737.35,52559,WIPRO
5,2023-02-17,EQ,406.85,408.0,404.0,409.9,405.9,406.3,405.54,616.0,372.4,2808122,1138794386.7,48626,WIPRO
6,2023-02-16,EQ,408.8,413.25,408.55,407.4,409.0,409.9,411.04,616.0,372.4,5594681,2299611268.7,108077,WIPRO
7,2023-02-15,EQ,402.7,407.85,400.35,405.1,407.0,407.4,404.91,616.0,372.4,2613836,1058358799.9,53825,WIPRO
8,2023-02-14,EQ,403.0,406.45,401.5,400.6,405.2,405.1,404.93,616.0,372.4,2319411,939196277.6,50277,WIPRO
9,2023-02-13,EQ,405.65,405.65,399.2,405.8,400.65,400.6,401.36,616.0,372.4,2412678,968357629.25,47729,WIPRO
10,2023-02-10,EQ,407.0,407.0,402.8,408.3,405.25,405.8,405.24,616.0,372.4,2580070,1045548071.5,58591,WIPRO
11,2023-02-09,EQ,406.75,408.95,403.55,406.75,407.7,408.3,406.64,616.0,372.4,2638687,1072997130.15,47612,WIPRO
12,2023-02-08,EQ,401.0,407.6,401.0,400.5,407.5,406.75,405.52,616.0,372.4,4150488,1683115908.55,65874,WIPRO
13,2023-02-07,EQ,405.5,405.5,399.05,404.65,400.6,400.5,400.8,616.0,372.4,3341790,1339399605.2,65776,WIPRO
14,2023-02-06,EQ,405.4,406.2,401.6,407.9,405.0,404.65,403.87,616.0,372.4,2979011,1203126501.65,67838,WIPRO
15,2023-02-03,EQ,412.55,413.0,406.15,409.45,407.2,407.9,408.69,616.0,372.4,4425118,1808513165.15,96647,WIPRO
16,2023-02-02,EQ,402.4,410.0,402.4,402.4,409.95,409.45,406.85,616.0,372.4,5417730,2204188071.1,96633,WIPRO
17,2023-02-01,EQ,401.5,403.9,398.35,398.85,402.0,402.4,401.44,616.0,372.4,3514948,1411038151.95,80393,WIPRO
18,2023-01-31,EQ,402.3,402.55,397.7,402.25,398.75,398.85,399.65,616.0,372.4,4783423,1911698113.55,95774,WIPRO
19,2023-01-30,EQ,398.05,404.8,395.05,398.05,402.5,402.25,401.17,616.0,372.4,3630628,1456511572.55,80437,WIPRO
20,2023-01-27,EQ,401.55,403.6,394.2,401.55,399.0,398.05,398.73,616.0,372.4,3705067,1477311284.8,96233,WIPRO
21,2023-01-25,EQ,405.0,405.9,400.0,406.6,401.4,401.55,402.13,616.0,372.4,3177777,1277893745.6,78480,WIPRO
22,2023-01-24,EQ,408.4,410.2,405.15,407.0,406.35,406.6,407.21,616.0,372.4,4776320,1944979940.0,89359,WIPRO
23,2023-01-23,EQ,405.2,407.75,402.5,403.15,406.35,407.0,405.38,616.0,372.4,4407645,1786771218.5,84229,WIPRO
24,2023-01-20,EQ,403.55,405.4,401.3,403.4,403.0,403.15,403.32,651.65,372.4,4632807,1868485117.6,69849,WIPRO
25,2023-01-19,EQ,402.1,404.0,398.75,403.2,403.0,403.4,402.1,651.65,372.4,4723728,1899391737.5,61290,WIPRO
26,2023-01-18,EQ,398.5,403.85,398.0,396.35,403.45,403.2,401.96,651.65,372.4,8040213,3231815602.25,169128,WIPRO
27,2023-01-17,EQ,400.05,402.05,393.75,398.6,396.2,396.35,397.35,651.65,372.4,7155016,2843066822.8,110657,WIPRO
28,2023-01-16,EQ,390.0,401.0,389.0,393.9,398.95,398.6,397.59,651.65,372.4,11933722,4744771991.4,167139,WIPRO
29,2023-01-13,EQ,396.0,396.6,386.5,394.5,395.5,393.9,392.45,709.0,372.4,6810930,2672939296.0,106454,WIPRO
30,2023-01-12,EQ,395.75,397.9,390.5,393.85,394.9,394.5,393.84,709.0,372.4,4755250,1872794689.8,82363,WIPRO
31,2023-01-11,EQ,393.0,396.0,391.5,393.05,393.75,393.85,394.19,709.0,372.4,3828300,1509076895.05,74321,WIPRO
32,2023-01-10,EQ,392.0,393.9,387.35,391.8,392.95,393.05,390.93,709.0,372.4,3939748,1540166720.3,72001,WIPRO
33,2023-01-09,EQ,386.0,393.0,385.1,382.0,391.95,391.8,390.09,709.0,372.4,3673716,1433063610.45,79793,WIPRO
34,2023-01-06,EQ,387.0,388.8,381.4,386.9,382.5,382.0,383.86,726.8,372.4,4242377,1628463953.9,91273,WIPRO
35,2023-01-05,EQ,390.0,392.2,383.75,389.7,387.1,386.9,387.05,726.8,372.4,4784490,1851844196.6,105121,WIPRO
36,2023-01-04,EQ,397.5,397.5,388.6,397.05,389.4,389.7,391.46,726.8,372.4,4463261,1747178084.9,128270,WIPRO
37,2023-01-03,EQ,393.05,397.75,391.7,393.05,397.2,397.05,395.14,726.8,372.4,2997211,1184321350.9,49960,WIPRO
38,2023-01-02,EQ,393.0,393.9,390.5,392.75,393.1,393.05,392.31,726.8,372.4,2779756,1090531972.55,61896,WIPRO
39,2022-12-30,EQ,393.0,396.3,391.55,390.75,392.75,392.75,393.92,726.8,372.4,4128278,1626208140.2,70935,WIPRO
40,2022-12-29,EQ,386.25,392.1,384.8,387.8,391.0,390.75,388.54,726.8,372.4,4742699,1842739110.1,80438,WIPRO
41,2022-12-28,EQ,385.0,389.55,383.25,386.6,387.75,387.8,387.16,726.8,372.4,3838001,1485912242.2,78572,WIPRO
42,2022-12-27,EQ,382.5,387.35,380.25,380.5,387.05,386.6,384.31,726.8,372.4,3842920,1476861932.2,60580,WIPRO
43,2022-12-26,EQ,378.0,381.6,376.3,377.65,380.2,380.5,380.03,726.8,372.4,3630574,1379739622.75,90962,WIPRO
44,2022-12-23,EQ,384.0,385.85,377.0,388.75,378.15,377.65,380.85,726.8,372.4,6060355,2308090374.1,177514,WIPRO
45,2022-12-22,EQ,390.1,391.95,386.0,389.5,388.3,388.75,388.6,726.8,372.4,4546900,1766929109.0,110463,WIPRO
46,2022-12-21,EQ,390.9,393.25,387.85,388.95,389.1,389.5,390.18,726.8,372.4,5107607,1992911389.45,85256,WIPRO
47,2022-12-20,EQ,388.8,389.9,383.0,389.05,389.9,388.95,386.27,726.8,372.4,4389279,1695464556.25,89800,WIPRO
48,2022-12-19,EQ,388.45,390.5,385.7,389.75,389.8,389.05,388.03,726.8,372.4,4419023,1714712801.05,110160,WIPRO
